customer_name|industry|website_url
CITIGROUP GLOBAL MARKETS LIMITED|Financial intermediation and insurance|https://www.citigroup.com
IMPUMELELO CP NOTE PROGRAMME 1 (RF) LTD|Financial intermediation and insurance|UNKNOWN
FIRSTRAND BANK LTD IN TRUST FOR THE  OAKHAVEN SNN STRATEGIC FIXED INCOME QI HEDGE|Financial intermediation and insurance|https://www.firstrand.co.za
SOUTHCHESTER INVESTMENT MANAGERS (PTY) LTD|Financial intermediation and insurance|https://www.southchester.co.za
ENEL GREEN POWER RSA 2 (RF) (PTY) LTD|Renewables|https://www.enelgreenpower.com
LANCASTER ACTIVE FUND (PTY) LTD|Financial intermediation and insurance|UNKNOWN
MUTANDA MINING SARL|Mining and Quarrying|https://www.mutandamining.com
OLD MUTUAL LIFE ASSURANCE COMPANY SOUTH AFRICA LTD|Financial intermediation and insurance|https://www.oldmutual.co.za
ACUMEN CAPITAL (PTY) LTD|Financial intermediation and insurance|https://www.acumencapital.co.za
PRESCIENT INVESTMENT MANAGEMENT (PTY) LTD|Financial intermediation and insurance|https://www.prescient.co.za
SPHINX INVESTMENT HOLDING COMPANY (PTY) LTD|Financial intermediation and insurance|UNKNOWN
TERACO DATA ENVIRONMENTS PTY LTD|Transport and Logistics|https://www.teraco.co.za
PARETO LIMITED|Real Estate|https://www.pareto.co.za
REDEFINE PROPERTIES LIMITED|Real Estate|https://www.redefine.co.za
SENWES BPK|Wholesale and Retail trade|https://www.senwes.co.za
AZULE ENERGY HOLDINGS LIMITED|Mining and Quarrying|https://www.azule-energy.com
BARCLAYS ALZIN INVESTMENTS SARL|Financial intermediation and insurance|UNKNOWN
SHOPRITE FINANCIAL SERVICES LTD|Financial intermediation and insurance|https://shopritefinancialservices.co.za
S A RETAIL PROPERTIES (PTY) LTD|Real Estate|UNKNOWN
VUKILE PROPERTY FUND LIMITED|Real Estate|https://www.vukile.co.za
